post_id;post_link;post_type;comment_id;comment_pt;comment_en;timestamp;source_account;terreiro_size;data_collection_date;sentiment_vader_pt;sentiment_vader_en;sentiment_llm;label_manual;notes;comment_length;emoji_count;religious_terms;interaction_type
2;https://www.instagram.com/p/DObh68YDqWJ/;Birthday wishes;22;Axé 👏👏👏👏👏👏👏👏👏;Axé 👏👏👏👏👏👏👏👏👏;11.09.25;afonja_ba;27500;12.09.25;;;;;;22;9;1;axé
2;https://www.instagram.com/p/DObh68YDqWJ/;Birthday wishes;23;❤️🔥🔥❤️❤️vivas !;❤️🔥🔥❤️❤️Long live!;11.09.25;afonja_ba;27500;12.09.25;;;;;;17;5;;blessing
2;https://www.instagram.com/p/DObh68YDqWJ/;Birthday wishes;24;🙏🙏🎉🎉;🙏🙏🎉🎉;10.09.25;afonja_ba;27500;12.09.25;;;;;;8;4;;congratulations
3;https://www.instagram.com/p/DK2EmG8MvXO/;Celebrating senior member;25;Ontem foi exercida uma das muitas falas pertinentes de Mãe Ana de Xangô acerca do legado de Mãe Stella. Que o povo de santo no Brasil possa seguir aprendendo com essa ancestral que tanto nos oferta sabedoria, aprendizado e potência de ser quem somos em qualquer espaço.;Yesterday, one of Mãe Ana de Xangô's many pertinent statements about Mãe Stella's legacy was made. May the people of santo in Brazil continue to learn from this ancestor who offers us so much wisdom, learning, and the power to be who we are in any space.;vor 13 Wo.;afonja_ba;27500;12.09.25;;;;;;269;;3;political
3;https://www.instagram.com/p/DK2EmG8MvXO/;Celebrating senior member;26;Sua benção Mãe.;Your blessing, Mother.;vor 13 Wo.;afonja_ba;27500;12.09.25;;;;;;15;;1;blessing
3;https://www.instagram.com/p/DK2EmG8MvXO/;Celebrating senior member;27;Axé!!! Vida longa ao Ilê Axé Opo Afonja ❤️;Axé!!! Long live Ilê Axé Opo Afonja ❤️;vor 13 Wo.;afonja_ba;27500;12.09.25;;;;;;42;1;1;blessing
3;https://www.instagram.com/p/DK2EmG8MvXO/;Celebrating senior member;28;Vida longa ao Grande Rei na pessoa de Mãe Ana . ÌREWOOO \😄/;Long live the Great King in the person of Mother Ana. ÌREWOOO \😄/;vor 13 Wo.;afonja_ba;27500;12.09.25;;;;;;60;1;3;blessing
3;https://www.instagram.com/p/DK2EmG8MvXO/;Celebrating senior member;29;Muito linda Iá..;Very beautiful, Iá...;vor 13 Wo.;afonja_ba;27500;12.09.25;;;;;;16;;1;praise
3;https://www.instagram.com/p/DK2EmG8MvXO/;Celebrating senior member;30;O Brasil é feito de nossa gente! 👏👏👏👏👏👏👏👏👏👏👏👏Viva Mãe Ana e Viva Mãe Stella, que nos representam! Axé🙏💙💚❤️💐;Brazil is made up of our people! 👏👏👏👏👏👏👏👏👏👏👏👏Long live Mother Ana and Mother Stella, who represent us! Axé🙏💙💚❤️💐;vor 13 Wo.;afonja_ba;27500;12.09.25;;;;;;123;17;3;political
3;https://www.instagram.com/p/DK2EmG8MvXO/;Celebrating senior member;31;Linda Sábia e muito humilde! Uma verdadeira Rainha;Beautiful, wise, and very humble! A true queen.;vor 13 Wo.;afonja_ba;27500;12.09.25;;;;;;50;;;praise
3;https://www.instagram.com/p/DK2EmG8MvXO/;Celebrating senior member;32;Um legado! A resistência feminina.Sim ,resistência, pois a essência do candomblé é feminina! Muita emoção!;A legacy! Female resistance. Yes, resistance, because the essence of Candomblé is feminine! So much emotion!;vor 13 Wo.;afonja_ba;27500;12.09.25;;;;;;106;;1;political
3;https://www.instagram.com/p/DK2EmG8MvXO/;Celebrating senior member;33;Xangô abençoe hoje e sempre !@;May Xangô bless you today and always!;vor 13 Wo.;afonja_ba;27500;12.09.25;;;;;;30;;1;blessing
3;https://www.instagram.com/p/DK2EmG8MvXO/;Celebrating senior member;34;Viva viva vivam!!!!! Vivamos pois!!!;Hurray, hurray, hurray!!!!! Let's live, then!!!;vor 13 Wo.;afonja_ba;27500;12.09.25;;;;;;36;;;blessing
3;https://www.instagram.com/p/DK2EmG8MvXO/;Celebrating senior member;35;Alguém sabe se jogam búzios?;Does anyone know if they play cowrie shells?;vor 13 Wo.;afonja_ba;27500;12.09.25;;;;;;28;;1;question
3;https://www.instagram.com/p/DK2EmG8MvXO/;Celebrating senior member;36;Que a senhora tenha muita saúde e sabedoria para dar, sempre, o melhor de si. Assim será!;May you have good health and wisdom to always give your best. So be it!;vor 13 Wo.;afonja_ba;27500;12.09.25;;;;;;89;;;blessing
3;https://www.instagram.com/p/DK2EmG8MvXO/;Celebrating senior member;37;Brilhou viu !!! Acompanhamos !!!!;You shined! We're following you!;vor 13 Wo.;afonja_ba;27500;12.09.25;;;;;;33;;;praise
3;https://www.instagram.com/p/DK2EmG8MvXO/;Celebrating senior member;38;Adupé Sango, Adupé Ósóssi!;Adupé Sango, Adupé Ósóssi!;vor 13 Wo.;afonja_ba;27500;12.09.25;;;;;;26;;;thanks
3;https://www.instagram.com/p/DK2EmG8MvXO/;Celebrating senior member;39;Kaô Kabecilê 👑⛰️🔥;Kaô Kabecilê 👑⛰️🔥;vor 13 Wo.;afonja_ba;27500;12.09.25;;;;;;19;3;1;spiritual_praise
3;https://www.instagram.com/p/DK2EmG8MvXO/;Celebrating senior member;40;🤲🏾❤️‍🔥🩵✨;🤲🏾❤️‍🔥🩵✨;vor 13 Wo.;afonja_ba;27500;12.09.25;;;;;;12;4;;emoji_only
3;https://www.instagram.com/p/DK2EmG8MvXO/;Celebrating senior member;41;🔥🔥;🔥🔥;vor 13 Wo.;afonja_ba;27500;12.09.25;;;;;;4;2;;emoji_only
3;https://www.instagram.com/p/DK2EmG8MvXO/;Celebrating senior member;42;🙌🙌🙌🙌❤️❤️❤️❤️;🙌🙌🙌🙌❤️❤️❤️❤️;vor 13 Wo.;afonja_ba;27500;12.09.25;;;;;;16;8;;emoji_only
3;https://www.instagram.com/p/DK2EmG8MvXO/;Celebrating senior member;43;Asé😍;Asé😍;vor 13 Wo.;afonja_ba;27500;12.09.25;;;;;;5;1;1;axé
3;https://www.instagram.com/p/DK2EmG8MvXO/;Celebrating senior member;44;❤️😍;❤️😍;vor 13 Wo.;afonja_ba;27500;12.09.25;;;;;;4;2;;emoji_only
3;https://www.instagram.com/p/DK2EmG8MvXO/;Celebrating senior member;45;❤️;❤️;vor 13 Wo.;afonja_ba;27500;12.09.25;;;;;;2;1;;emoji_only
3;https://www.instagram.com/p/DK2EmG8MvXO/;Celebrating senior member;46;❤️❤️;❤️❤️;vor 13 Wo.;afonja_ba;27500;12.09.25;;;;;;4;2;;emoji_only
3;https://www.instagram.com/p/DK2EmG8MvXO/;Celebrating senior member;47;👏👏👏;👏👏👏;vor 13 Wo.;afonja_ba;27500;12.09.25;;;;;;6;2;;emoji_only
3;https://www.instagram.com/p/DK2EmG8MvXO/;Celebrating senior member;48;💫✨️🙏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾;💫✨️🙏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾;vor 13 Wo.;afonja_ba;27500;12.09.25;;;;;;32;9;;emoji_only
3;https://www.instagram.com/p/DK2EmG8MvXO/;Celebrating senior member;49;😍😍;😍😍;vor 13 Wo.;afonja_ba;27500;12.09.25;;;;;;4;2;;emoji_only
3;https://www.instagram.com/p/DK2EmG8MvXO/;Celebrating senior member;50;😍😍😍😍❤️❤️❤️❤️;😍😍😍😍❤️❤️❤️❤️;vor 13 Wo.;afonja_ba;27500;12.09.25;;;;;;16;8;;emoji_only
3;https://www.instagram.com/p/DK2EmG8MvXO/;Celebrating senior member;51;🔥🔥;🔥🔥;vor 13 Wo.;afonja_ba;27500;12.09.25;;;;;;4;2;;emoji_only
3;https://www.instagram.com/p/DK2EmG8MvXO/;Celebrating senior member;52;❤️;❤️;vor 13 Wo.;afonja_ba;27500;12.09.25;;;;;;2;1;;emoji_only
3;https://www.instagram.com/p/DK2EmG8MvXO/;Celebrating senior member;53;👏👏👏👏👏❤️❤️❤️❤️❤️;👏👏👏👏👏❤️❤️❤️❤️❤️;vor 13 Wo.;afonja_ba;27500;12.09.25;;;;;;20;10;;emoji_only
3;https://www.instagram.com/p/DK2EmG8MvXO/;Celebrating senior member;54;😍😍;😍😍;vor 13 Wo.;afonja_ba;27500;12.09.25;;;;;;4;2;;emoji_only
3;https://www.instagram.com/p/DK2EmG8MvXO/;Celebrating senior member;55;Motumbá. Àsé. Mãe Ana! 👏👏👏🔥🔥🔥❤️❤️;Motumbá. Àsé. Mãe Ana! 👏👏👏🔥🔥🔥❤️❤️;vor 13 Wo.;afonja_ba;27500;12.09.25;;;;;;39;8;3;spiritual_praise
3;https://www.instagram.com/p/DK2EmG8MvXO/;Celebrating senior member;56;❤️;❤️;vor 13 Wo.;afonja_ba;27500;12.09.25;;;;;;2;1;;emoji_only
3;https://www.instagram.com/p/DK2EmG8MvXO/;Celebrating senior member;57;🔥❤️🔥;🔥❤️🔥;vor 13 Wo.;afonja_ba;27500;12.09.25;;;;;;6;3;;emoji_only
3;https://www.instagram.com/p/DK2EmG8MvXO/;Celebrating senior member;58;👏👏👏;👏👏👏;vor 13 Wo.;afonja_ba;27500;12.09.25;;;;;;6;3;;emoji_only
3;https://www.instagram.com/p/DK2EmG8MvXO/;Celebrating senior member;59;🙌🙌;🙌🙌;vor 13 Wo.;afonja_ba;27500;12.09.25;;;;;;4;2;;emoji_only
3;https://www.instagram.com/p/DK2EmG8MvXO/;Celebrating senior member;60;❤️🔥;❤️🔥;vor 13 Wo.;afonja_ba;27500;12.09.25;;;;;;4;2;;emoji_only
3;https://www.instagram.com/p/DK2EmG8MvXO/;Celebrating senior member;61;🔥🔥🔥;🔥🔥🔥;vor 13 Wo.;afonja_ba;27500;12.09.25;;;;;;6;3;;emoji_only
3;https://www.instagram.com/p/DK2EmG8MvXO/;Celebrating senior member;62;👏👏👏👏👏;👏👏👏👏👏;vor 13 Wo.;afonja_ba;27500;12.09.25;;;;;;10;5;;emoji_only
3;https://www.instagram.com/p/DK2EmG8MvXO/;Celebrating senior member;63;Sale Xangô!!!;Sale Xangô!!!;vor 13 Wo.;afonja_ba;27500;12.09.25;;;;;;13;;1;spiritual_praise
3;https://www.instagram.com/p/DK2EmG8MvXO/;Celebrating senior member;64;Axé;Axé;vor 13 Wo.;afonja_ba;27500;12.09.25;;;;;;3;;1;axé
3;https://www.instagram.com/p/DK2EmG8MvXO/;Celebrating senior member;65;❤️🤍;❤️🤍;vor 13 Wo.;afonja_ba;27500;12.09.25;;;;;;4;2;;emoji_only
3;https://www.instagram.com/p/DK2EmG8MvXO/;Celebrating senior member;66;Asé;Asé;vor 13 Wo.;afonja_ba;27500;12.09.25;;;;;;3;;1;axé
3;https://www.instagram.com/p/DK2EmG8MvXO/;Celebrating senior member;67;😍❤️❤️❤️;😍❤️❤️❤️;vor 13 Wo.;afonja_ba;27500;12.09.25;;;;;;8;4;;emoji_only
3;https://www.instagram.com/p/DK2EmG8MvXO/;Celebrating senior member;68;Linda ❤️;Beautiful ❤️;vor 13 Wo.;afonja_ba;27500;12.09.25;;;;;;8;1;;praise
3;https://www.instagram.com/p/DK2EmG8MvXO/;Celebrating senior member;75;Kí Baba Xangô fún ọ ní ọ̀pọ̀lọpọ̀ ìgbésí ayé àti ìlera. 🙌;Kí Baba Xangô fún ọ ní ọ̀pọ̀lọpọ̀ ìgbésí ayé àti ìlera. 🙌;vor 13 Wo.;afonja_ba;27500;12.09.25;;;;;Comment in Yòrùbá;58;1;1;spiritual_praise
3;https://www.instagram.com/p/DK2EmG8MvXO/;Celebrating senior member;70;👏🏽 resistência;👏🏽 resistance;vor 13 Wo.;afonja_ba;27500;12.09.25;;;;;;16;1;;political
3;https://www.instagram.com/p/DK2EmG8MvXO/;Celebrating senior member;71;A bênção minha linda!!;Blessings, my dear!;vor 13 Wo.;afonja_ba;27500;12.09.25;;;;;;22;;;blessing
3;https://www.instagram.com/p/DK2EmG8MvXO/;Celebrating senior member;72;🙌🙌🙌😍;🙌🙌🙌😍;vor 13 Wo.;afonja_ba;27500;12.09.25;;;;;;8;3;;emoji_only
3;https://www.instagram.com/p/DK2EmG8MvXO/;Celebrating senior member;73;❤️🙌❤️👏👏👏👏👏👏;❤️🙌❤️👏👏👏👏👏👏;vor 13 Wo.;afonja_ba;27500;12.09.25;;;;;;18;9;;emoji_only
4;https://www.instagram.com/p/DJuz6lYyNLG/;Promoting political event (terreiro);74;Que movimento importante para nós povo de axé. Salve as mulheres negras de terreiro! Salve e salve. A benção, família!;"What an important movement for us, the people of axé.
Hail to the black women of the terreiro! Hail and hail.
Blessings, family!";vor 16 Wo.;afonja_ba;27500;12.09.25;;;;;;118;;1;political
4;https://www.instagram.com/p/DJuz6lYyNLG/;Promoting political event (terreiro);75;Viva mãe Stella! Mojubá a quem veio antes de nós, mulheres de terreiro! 🙏🙏🙏🙏🙏;Long live Mother Stella! Mojubá to those who came before us, women of the terreiro! 🙏🙏🙏🙏🙏;vor 16 Wo.;afonja_ba;27500;12.09.25;;;;;;82;5;1;blessing
4;https://www.instagram.com/p/DJuz6lYyNLG/;Promoting political event (terreiro);76;😍👏🙌🩵🏹;😍👏🙌🩵🏹;vor 16 Wo.;afonja_ba;27500;12.09.25;;;;;;10;5;;emoji_only
4;https://www.instagram.com/p/DJuz6lYyNLG/;Promoting political event (terreiro);77;🙏🏽🩵🏹🩵🙏🏽;🙏🏽🩵🏹🩵🙏🏽;vor 16 Wo.;afonja_ba;27500;12.09.25;;;;;;14;5;;emoji_only
4;https://www.instagram.com/p/DJuz6lYyNLG/;Promoting political event (terreiro);78;💙🏹🐆;💙🏹🐆;vor 16 Wo.;afonja_ba;27500;12.09.25;;;;;;6;3;;emoji_only
4;https://www.instagram.com/p/DJuz6lYyNLG/;Promoting political event (terreiro);79;Salve as mulheres. Axé;Save the women. Axé;vor 16 Wo.;afonja_ba;27500;12.09.25;;;;;;22;;1;political
4;https://www.instagram.com/p/DJuz6lYyNLG/;Promoting political event (terreiro);80;Arolê!!!;Arolê!!!;vor 16 Wo.;afonja_ba;27500;12.09.25;;;;;;8;;1;axé
4;https://www.instagram.com/p/DJuz6lYyNLG/;Promoting political event (terreiro);81;AXÉ 👏👏👏👏;AXÉ 👏👏👏👏;vor 16 Wo.;afonja_ba;27500;12.09.25;;;;;;12;;1;axé
4;https://www.instagram.com/p/DJuz6lYyNLG/;Promoting political event (terreiro);82;Modupé;Modupé;vor 16 Wo.;afonja_ba;27500;12.09.25;;;;;;6;;1;thanks
4;https://www.instagram.com/p/DJuz6lYyNLG/;Promoting political event (terreiro);83;😍😍;😍😍;vor 16 Wo.;afonja_ba;27500;12.09.25;;;;;;4;2;;emoji_only
5;https://www.instagram.com/p/DI-TVLqsbkx/;Celebrating senior member (repost of newspaper article);84;Um salve ao grande mestre, professor Muniz Sodré 👏👏👏;A salute to the great master, Professor Muniz Sodré 👏👏👏;vor 19 Wo.;afonja_ba;27500;12.09.25;;;;;;55;2;;praise
5;https://www.instagram.com/p/DI-TVLqsbkx/;Celebrating senior member (repost of newspaper article);85;Fico muito feliz em saber que o Ilê Asè Opô Afonjá, volta a ser presidido por Mãos Negras!!! Asè! Novos Horizontes e Vida longa a todo esse Povo forte e guerreiro do Chão do Ilê Asè Opô Afonjá!!!❤️;I am very happy to hear that Ilê Asè Opô Afonjá will once again be presided over by black hands!!! Asè! New horizons and long life to all the strong and warrior people of Chão do Ilê Asè Opô Afonjá!!!❤️;vor 19 Wo.;afonja_ba;27500;12.09.25;;;;;;197;1;3;political
5;https://www.instagram.com/p/DI-TVLqsbkx/;Celebrating senior member (repost of newspaper article);86;Mãe Stella estrela azul. Okê Arô Odé kaiodê 🏹🏹🏹🏹🏹🏹;Mother Stella, blue star. Okay, Arô Odé kaiodê 🏹🏹🏹🏹🏹🏹;vor 19 Wo.;afonja_ba;27500;12.09.25;;;;;;56;6;4;spiritual_praise
5;https://www.instagram.com/p/DI-TVLqsbkx/;Celebrating senior member (repost of newspaper article);87;🙌🏾;🙌🏾;vor 19 Wo.;afonja_ba;27500;12.09.25;;;;;;4;1;;emoji_only
5;https://www.instagram.com/p/DI-TVLqsbkx/;Celebrating senior member (repost of newspaper article);88;❤️❤️;❤️❤️;vor 19 Wo.;afonja_ba;27500;12.09.25;;;;;;4;2;;emoji_only
5;https://www.instagram.com/p/DI-TVLqsbkx/;Celebrating senior member (repost of newspaper article);89;🙌🙌🔥🔥;🙌🙌🔥🔥;vor 19 Wo.;afonja_ba;27500;12.09.25;;;;;;8;4;;emoji_only
5;https://www.instagram.com/p/DI-TVLqsbkx/;Celebrating senior member (repost of newspaper article);90;👏👏👏👏;👏👏👏👏;vor 19 Wo.;afonja_ba;27500;12.09.25;;;;;;8;4;;emoji_only
5;https://www.instagram.com/p/DI-TVLqsbkx/;Celebrating senior member (repost of newspaper article);91;👏👏👏👏👏;👏👏👏👏👏;vor 19 Wo.;afonja_ba;27500;12.09.25;;;;;;10;5;;emoji_only
5;https://www.instagram.com/p/DI-TVLqsbkx/;Celebrating senior member (repost of newspaper article);92;@afonja_ba , como faço para ter acesso no dia 02/05? Obrigado;@afonja_ba, how can I access it on May 2? Thank you.;vor 19 Wo.;afonja_ba;27500;12.09.25;;;;;;61;;;question
6;https://www.instagram.com/p/DNT5AVuJ79P/?img_index=1;University class visiting terreiro;93;Como faço para voltar a ser seu aluno e participar dessas vivências maravilhosas? 😍❤️✊🏾;How can I become your student again and participate in these wonderful experiences? 😍❤️✊🏾;vor 4 Wo.;terreirocasabranca;38100;13.09.25;;;;;;89;3;;question
6;https://www.instagram.com/p/DNT5AVuJ79P/?img_index=2;University class visiting terreiro;94;Parabéns rochavagner pelo belo trabalho desenvolvido no PIBID. 👏;Congratulations, rochavagner, for your excellent work at PIBID. 👏;vor 4 Wo.;terreirocasabranca;38100;13.09.25;;;;;;65;1;;congratulations
6;https://www.instagram.com/p/DNT5AVuJ79P/?img_index=3;University class visiting terreiro;95;👏👏;👏👏;vor 4 Wo.;terreirocasabranca;38100;13.09.25;;;;;;4;1;;emoji_only
6;https://www.instagram.com/p/DNT5AVuJ79P/?img_index=4;University class visiting terreiro;96;Que beleza de foto👏🏼👏🏼👏🏼👏🏼;What a beautiful photo👏🏼👏🏼👏🏼👏🏼;vor 4 Wo.;terreirocasabranca;38100;13.09.25;;;;;;34;4;;praise
6;https://www.instagram.com/p/DNT5AVuJ79P/?img_index=5;University class visiting terreiro;97;Parabéns @professorbira e todos os envolvidos;Congratulations @professorbira and everyone involved.;vor 4 Wo.;terreirocasabranca;38100;13.09.25;;;;;;45;;;congratulations
6;https://www.instagram.com/p/DNT5AVuJ79P/?img_index=6;University class visiting terreiro;98;Poxa perdi essa grande oportunidade;Oh no, I missed that great opportunity.;vor 4 Wo.;terreirocasabranca;38100;13.09.25;;;;;;35;;;sharing
6;https://www.instagram.com/p/DNT5AVuJ79P/?img_index=7;University class visiting terreiro;99;Perfeito 🔥;Perfect 🔥;vor 4 Wo.;terreirocasabranca;38100;13.09.25;;;;;;11;1;;praise
6;https://www.instagram.com/p/DNT5AVuJ79P/?img_index=8;University class visiting terreiro;100;👏👏👏;👏👏👏;vor 4 Wo.;terreirocasabranca;38100;13.09.25;;;;;;6;3;;emoji_only
6;https://www.instagram.com/p/DNT5AVuJ79P/?img_index=9;University class visiting terreiro;101;😍❤️🙌;😍❤️🙌;vor 4 Wo.;terreirocasabranca;38100;13.09.25;;;;;;6;3;;emoji_only
6;https://www.instagram.com/p/DNT5AVuJ79P/?img_index=10;University class visiting terreiro;102;❤️;❤️;vor 4 Wo.;terreirocasabranca;38100;13.09.25;;;;;;2;1;;emoji_only
6;https://www.instagram.com/p/DNT5AVuJ79P/?img_index=11;University class visiting terreiro;103;👏👏👏👏;👏👏👏👏;vor 4 Wo.;terreirocasabranca;38100;13.09.25;;;;;;8;4;;emoji_only
6;https://www.instagram.com/p/DNT5AVuJ79P/?img_index=12;University class visiting terreiro;104;❤️❤️❤️;❤️❤️❤️;vor 4 Wo.;terreirocasabranca;38100;13.09.25;;;;;;6;3;;emoji_only
6;https://www.instagram.com/p/DNT5AVuJ79P/?img_index=13;University class visiting terreiro;105;😍😍;😍😍;vor 4 Wo.;terreirocasabranca;38100;13.09.25;;;;;;4;2;;emoji_only
7;https://www.instagram.com/p/DJT_EO5t5m8/;Celebrating terreiro maintenance financed by public funds;106;Vivas 👏👏👏 pela preservação de um lugar tão especial para a história de Salvador e para o país;Cheers 👏👏👏 for preserving such a special place for the history of Salvador and for the country.;vor 18 Wo.;terreirocasabranca;38100;13.09.25;;;;;;96;3;;political
7;https://www.instagram.com/p/DJT_EO5t5m8/;Celebrating terreiro maintenance financed by public funds;107;Que maravilha! Preservar é manter a história, memória e dignidade❤️;How wonderful! To preserve is to maintain history, memory, and dignity.;vor 18 Wo.;terreirocasabranca;38100;13.09.25;;;;;;67;1;;political
7;https://www.instagram.com/p/DJT_EO5t5m8/;Celebrating terreiro maintenance financed by public funds;108;Felicidades pela conquista! Obtenção de recurso público por mérito. Lembremos que tivemos também com recursos editais, restauros da Coroa de Xangô e da Casa de Oxossi, no qual, tive a honra de coordenar esta ação.;Congratulations on your achievement! Obtaining public funds on merit. Let us remember that we also had funds from public notices, restorations of the Crown of Xangô and the House of Oxossi, in which I had the honor of coordinating this action.;vor 18 Wo.;terreirocasabranca;38100;13.09.25;;;;;;213;;2;political
7;https://www.instagram.com/p/DJT_EO5t5m8/;Celebrating terreiro maintenance financed by public funds;109;🤍🩵💙💚♾️💫🌠;🤍🩵💙💚♾️💫🌠;vor 18 Wo.;terreirocasabranca;38100;13.09.25;;;;;;14;7;;emoji_only
7;https://www.instagram.com/p/DJT_EO5t5m8/;Celebrating terreiro maintenance financed by public funds;110;❤️❤️❤️ mojuba esse solo sagrado;❤️❤️❤️ mojuba this sacred ground;vor 17 Wo.;terreirocasabranca;38100;13.09.25;;;;;;31;3;1;praise
7;https://www.instagram.com/p/DJT_EO5t5m8/;Celebrating terreiro maintenance financed by public funds;111;🙌🙌👏👏👏;🙌🙌👏👏👏;vor 18 Wo.;terreirocasabranca;38100;13.09.25;;;;;;10;5;;emoji_only
7;https://www.instagram.com/p/DJT_EO5t5m8/;Celebrating terreiro maintenance financed by public funds;112;Que lindo!!! ❤️❤️❤️;How beautiful!!! ❤️❤️❤️;vor 18 Wo.;terreirocasabranca;38100;13.09.25;;;;;;19;3;;praise
